Line Item Date,Item ID,Order ID,Item Name,Currency,Per Unit Quantity,Item Unit,Item Revenue,Modifiers,Modifiers Revenue,Total Revenue,Discounts,Total Discount,Total
25-Nov-2016 11:52 PM CST,W4DCH6N3BSWS6,BA5DHETM1N41C,Water Bottle,USD,,,1.49,,,1.49,,,1.49
25-Nov-2016 11:52 PM CST,W4DCH6N3BSWS6,BA5DHETM1N41C,Water Bottle,USD,,,1.49,,,1.49,,,1.49
25-Nov-2016 11:34 PM CST,3JMTA6EHD4P7C,1GBBRYBYWJ05R,The Imposible Large,USD,,,8.99,,,8.99,,,8.99
25-Nov-2016 11:04 PM CST,3JMTA6EHD4P7C,VSQ1DN40PAWB8,The Imposible Large,USD,,,8.99,,,8.99,Employee (40%) -$3.60,-3.60,5.39
25-Nov-2016 10:56 PM CST,C91XHS7WBAXAJ,VWKTPJH1FEP7Y,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
25-Nov-2016 10:56 PM CST,71981JV02R31W,VWKTPJH1FEP7Y,Fajita Quesadilla Double,USD,,,6.99,,,6.99,,,6.99
25-Nov-2016 10:56 PM CST,2YB12G5M5BT8E,VWKTPJH1FEP7Y,Pastor Mini Corn (5),USD,,,7.99,Add Avocado (95NP8WH7Y3H5J) $1.25,1.25,9.24,,,9.24
25-Nov-2016 10:29 PM CST,Q37CGAJFE3PXG,4GV58P7GREK22,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
25-Nov-2016 10:29 PM CST,BSND3DA299JEP,4GV58P7GREK22,Beef Faita Costra,USD,,,8.99,,,8.99,,,8.99
25-Nov-2016 10:29 PM CST,NW13SSEQ5M34G,4GV58P7GREK22,Fajita Mini Corn (5),USD,,,7.99,"1 Pastor (6YNCJ03H5ST0J) $0.00
1 Pastor (6YNCJ03H5ST0J) $0.00
Add Avocado (95NP8WH7Y3H5J) $1.25",1.25,9.24,,,9.24
25-Nov-2016 10:09 PM CST,GP1HF8ZS8T22C,GSH5WXAFMM4F0,Diet Coke Can,USD,,,1.74,,,1.74,,,1.74
25-Nov-2016 10:09 PM CST,75GXZS7VCNXQ4,GSH5WXAFMM4F0,Mexican Fanta,USD,,,2.59,,,2.59,,,2.59
25-Nov-2016 10:09 PM CST,17H77NEWH8XNR,GSH5WXAFMM4F0,Pastor Mini Flour (4),USD,,,7.99,Add Avocado (95NP8WH7Y3H5J) $1.25,1.25,9.24,,,9.24
25-Nov-2016 10:09 PM CST,R40NTE3964G6A,GSH5WXAFMM4F0,Chicken Quesadilla Single,USD,,,3.75,Flour (DF24ZWC6A43FA) $0.00,0.00,3.75,,,3.75
25-Nov-2016 09:56 PM CST,C91XHS7WBAXAJ,RQX0FJFJQG7ST,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
25-Nov-2016 09:56 PM CST,C91XHS7WBAXAJ,RQX0FJFJQG7ST,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
25-Nov-2016 09:56 PM CST,Q1HWWABKN43Q0,RQX0FJFJQG7ST,Coke Can,USD,,,1.74,,,1.74,,,1.74
25-Nov-2016 09:56 PM CST,Q1HWWABKN43Q0,RQX0FJFJQG7ST,Coke Can,USD,,,1.74,,,1.74,,,1.74
25-Nov-2016 09:56 PM CST,E0S093FK7Y1CR,RQX0FJFJQG7ST,Pirata Large,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:56 PM CST,NW13SSEQ5M34G,RQX0FJFJQG7ST,Fajita Mini Corn (5),USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:42 PM CST,PK3ZSD77AY2CR,MQP9NCGDVNHSM,Gringa Large,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:40 PM CST,GP1HF8ZS8T22C,6M965S89MWX1M,Diet Coke Can,USD,,,1.74,,,1.74,,,1.74
25-Nov-2016 09:40 PM CST,Q37CGAJFE3PXG,6M965S89MWX1M,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
25-Nov-2016 09:40 PM CST,C91XHS7WBAXAJ,6M965S89MWX1M,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
25-Nov-2016 09:40 PM CST,BSND3DA299JEP,6M965S89MWX1M,Beef Faita Costra,USD,,,8.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,10.24,,,10.24
25-Nov-2016 09:30 PM CST,CV5AHSQ1XZYH4,1BKSGNMG2RM7R,Chicken Tostada,USD,,,5.99,,,5.99,,,5.99
25-Nov-2016 09:30 PM CST,6XRRW3BM3XZPE,1BKSGNMG2RM7R,Beef Fajita Alambre,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:30 PM CST,6XRRW3BM3XZPE,1BKSGNMG2RM7R,Beef Fajita Alambre,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:30 PM CST,6XRRW3BM3XZPE,1BKSGNMG2RM7R,Beef Fajita Alambre,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:24 PM CST,GP1HF8ZS8T22C,HGY0DY2K4DSH6,Diet Coke Can,USD,,,1.74,,,1.74,,,1.74
25-Nov-2016 09:24 PM CST,RMBKVWPMA0FT8,HGY0DY2K4DSH6,Mexican Mundete,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:24 PM CST,RMBKVWPMA0FT8,HGY0DY2K4DSH6,Mexican Mundete,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:24 PM CST,2YB12G5M5BT8E,HGY0DY2K4DSH6,Pastor Mini Corn (5),USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:24 PM CST,NW13SSEQ5M34G,HGY0DY2K4DSH6,Fajita Mini Corn (5),USD,,,7.99,Add Avocado (95NP8WH7Y3H5J) $1.25,1.25,9.24,,,9.24
25-Nov-2016 09:24 PM CST,NW13SSEQ5M34G,HGY0DY2K4DSH6,Fajita Mini Corn (5),USD,,,7.99,Add Avocado (95NP8WH7Y3H5J) $1.25,1.25,9.24,,,9.24
25-Nov-2016 09:24 PM CST,PK3ZSD77AY2CR,HGY0DY2K4DSH6,Gringa Large,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:24 PM CST,PK3ZSD77AY2CR,HGY0DY2K4DSH6,Gringa Large,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:24 PM CST,E0S093FK7Y1CR,HGY0DY2K4DSH6,Pirata Large,USD,,,7.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,9.24,,,9.24
25-Nov-2016 09:19 PM CST,71981JV02R31W,RPNZRZ9GZSEK2,Fajita Quesadilla Double,USD,,,6.99,,,6.99,,,6.99
25-Nov-2016 09:19 PM CST,JF0XYRY6MS4AA,RPNZRZ9GZSEK2,Pastor Huarache,USD,,,6.49,,,6.49,,,6.49
25-Nov-2016 09:19 PM CST,E0S093FK7Y1CR,RPNZRZ9GZSEK2,Pirata Large,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:19 PM CST,PK3ZSD77AY2CR,RPNZRZ9GZSEK2,Gringa Large,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:19 PM CST,PK3ZSD77AY2CR,RPNZRZ9GZSEK2,Gringa Large,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:19 PM CST,PK3ZSD77AY2CR,RPNZRZ9GZSEK2,Gringa Large,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 09:19 PM CST,C91XHS7WBAXAJ,RPNZRZ9GZSEK2,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
25-Nov-2016 09:19 PM CST,C91XHS7WBAXAJ,RPNZRZ9GZSEK2,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
25-Nov-2016 09:19 PM CST,C91XHS7WBAXAJ,RPNZRZ9GZSEK2,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
25-Nov-2016 09:19 PM CST,C91XHS7WBAXAJ,RPNZRZ9GZSEK2,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
25-Nov-2016 09:19 PM CST,C91XHS7WBAXAJ,RPNZRZ9GZSEK2,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
25-Nov-2016 09:19 PM CST,6MW6MHGVP682T,RPNZRZ9GZSEK2,Mexican Sangria,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:19 PM CST,6MW6MHGVP682T,RPNZRZ9GZSEK2,Mexican Sangria,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:19 PM CST,RMBKVWPMA0FT8,RPNZRZ9GZSEK2,Mexican Mundete,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:19 PM CST,RMBKVWPMA0FT8,RPNZRZ9GZSEK2,Mexican Mundete,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:19 PM CST,RMBKVWPMA0FT8,RPNZRZ9GZSEK2,Mexican Mundete,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:19 PM CST,RMBKVWPMA0FT8,RPNZRZ9GZSEK2,Mexican Mundete,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:19 PM CST,Q1HWWABKN43Q0,RPNZRZ9GZSEK2,Coke Can,USD,,,1.74,,,1.74,,,1.74
25-Nov-2016 09:19 PM CST,Q1HWWABKN43Q0,RPNZRZ9GZSEK2,Coke Can,USD,,,1.74,,,1.74,,,1.74
25-Nov-2016 09:19 PM CST,Q37CGAJFE3PXG,RPNZRZ9GZSEK2,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
25-Nov-2016 09:19 PM CST,Q37CGAJFE3PXG,RPNZRZ9GZSEK2,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
25-Nov-2016 09:19 PM CST,Q37CGAJFE3PXG,RPNZRZ9GZSEK2,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
25-Nov-2016 09:19 PM CST,3JMTA6EHD4P7C,RPNZRZ9GZSEK2,The Imposible Large,USD,,,8.99,,,8.99,,,8.99
25-Nov-2016 09:19 PM CST,NW13SSEQ5M34G,RPNZRZ9GZSEK2,Fajita Mini Corn (5),USD,,,7.99,Add Avocado (95NP8WH7Y3H5J) $1.25,1.25,9.24,,,9.24
25-Nov-2016 09:19 PM CST,K4HWNABF13GGT,RPNZRZ9GZSEK2,Fajita Quesadilla Single,USD,,,3.75,,,3.75,,,3.75
25-Nov-2016 09:19 PM CST,K4HWNABF13GGT,RPNZRZ9GZSEK2,Fajita Quesadilla Single,USD,,,3.75,,,3.75,,,3.75
25-Nov-2016 09:19 PM CST,BSND3DA299JEP,RPNZRZ9GZSEK2,Beef Faita Costra,USD,,,8.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,10.24,,,10.24
25-Nov-2016 09:13 PM CST,RMBKVWPMA0FT8,TT9SPM6SX826Y,Mexican Mundete,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:13 PM CST,Q37CGAJFE3PXG,TT9SPM6SX826Y,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
25-Nov-2016 09:13 PM CST,6MW6MHGVP682T,TT9SPM6SX826Y,Mexican Sangria,USD,,,2.39,,,2.39,,,2.39
25-Nov-2016 09:13 PM CST,PK3ZSD77AY2CR,TT9SPM6SX826Y,Gringa Large,USD,,,7.99,,,7.99,,,7.99
